95,100,115,5
95,98,114,3
95,97,113,2
95,95,112,0
95,94,111,-1
95,92,110,-3
95,91,109,-4
95,89,108,-6
95,88,107,-7
95,86,106,-9
95,85,105,-10
95,83,104,-12
92,80,102,-12
86,77,100,-9
80,74,98,-6
74,71,96,-3
72,70,95,-2
71,68,94,-3
71,67,93,-4
71,65,92,-6
71,64,91,-7
71,62,90,-9
71,61,89,-10
71,59,88,-12
71,58,87,-13
71,56,86,-15
71,58,85,-13
71,59,84,-12
71,61,85,-10
71,62,86,-9
71,64,87,-7
71,65,88,-6
71,67,89,-4
71,68,90,-3
71,70,91,-1
71,71,92,0
71,73,93,2
71,74,94,3
71,76,95,5
74,79,97,5
79,82,99,3
85,85,101,0
91,88,103,-3
97,91,105,-6
103,94,107,-9
105,95,108,-10
106,97,109,-9
106,98,110,-8
106,100,111,-6
106,101,112,-5
106,103,113,-3
106,104,114,-2
109,107,116,-2
115,110,118,-5
117,112,119,-5
118,113,120,-5
118,115,121,-3
118,116,122,-2
118,118,123,0
118,119,124,1
118,121,125,3
118,122,126,4
118,124,127,6
118,125,128,7
120,128,130,8
125,131,132,6
131,134,134,3
133,136,135,3
134,137,136,3
134,139,137,5
134,140,138,6
134,142,139,8
134,143,140,9
137,146,142,9
143,149,144,6
149,152,146,3
151,154,147,3
152,155,148,3
152,157,149,5
152,158,150,6
152,160,151,8
152,161,152,9
155,164,154,9
160,167,156,7
165,170,158,5
171,173,160,2
177,176,162,-1
183,179,164,-4
188,182,166,-6
189,184,167,-5
190,185,168,-5
190,187,169,-3
190,188,170,-2
190,190,171,0
190,191,172,1
190,193,173,3
190,194,174,4
190,196,175,6
190,197,176,7
190,199,177,9
190,200,175,10
190,199,174,9
190,198,172,8
190,197,171,7
190,196,169,6
190,195,168,5
190,194,166,4
190,193,165,3
190,192,163,2
190,191,162,1
190,190,160,0
190,189,159,-1
190,188,157,-2
190,187,156,-3
190,186,154,-4
190,185,153,-5
190,184,151,-6
190,183,150,-7
190,182,148,-8
190,181,147,-9
190,180,145,-10
190,179,144,-11
190,178,142,-12
190,177,141,-13
190,176,139,-14
188,174,136,-14
184,172,133,-12
178,170,130,-8
172,168,127,-4
170,167,126,-3
169,166,124,-3
169,165,123,-4
169,164,121,-5
169,163,120,-6
169,162,118,-7
169,161,117,-8
166,159,114,-7
161,157,111,-4
156,155,108,-1
154,154,106,0
153,153,105,0
153,152,103,-1
153,151,102,-2
153,150,100,-3
150,148,97,-2
144,146,94,2
138,144,91,6
132,142,88,10
130,141,87,11
129,140,85,11
129,139,84,10
129,138,85,9
129,137,87,8
129,136,88,7
129,135,90,6
129,134,91,5
126,132,94,6
121,130,97,9
116,128,100,12
114,127,102,13
113,126,103,13
113,125,105,12
113,124,106,11
113,123,108,10
113,122,109,9
113,121,111,8
113,120,112,7
113,119,114,6
113,118,115,5
113,117,117,4
113,116,118,3
113,115,120,2
110,113,123,3
104,111,126,7
98,109,129,11
96,108,130,12
95,107,132,12
95,106,133,11
95,105,135,10
95,104,136,9
95,103,138,8
92,101,141,9
86,99,144,13
80,97,147,17
78,96,148,18
77,95,150,18
77,94,151,17
77,93,153,16
77,92,154,15
77,91,156,14
77,90,157,13
77,89,159,12
77,88,160,11
77,87,162,10
77,86,163,9
77,85,165,8
74,83,168,9
69,81,171,12
68,80,172,12
67,79,174,12
67,78,175,11
67,77,177,10
67,78,175,11
67,79,174,12
67,80,172,13
67,81,171,14
67,82,169,15
67,83,168,16
67,84,166,17
